Date,Product,Quantity,UnitPrice,StoreLocation,Discount,Salesperson,TotalPrice,PaymentMethod,Promotion,Returned,OrderID,CustomerName,ShippingCost,OrderDate,DeliveryDate,RegionManager,discount_amount,lead_time_days,margin_ratio,order_month,Region_East,Region_North,Region_South,Region_West,CustomerType_Wholesale,season_Spring,season_Summer,season_Winter
2023-02-23,Laptop,14,163.6,Store B,0.0,Eva,2290.4,Online,FREESHIP,0,REG100000,Cust 6583,43.34,2023-02-23,2023-02-27,Eric,0.0,4,0.9810775410408662,2,1,0,0,0,1,0,0,1
2024-12-19,Phone,1,544.01,Store A,0.0,Alice,544.01,Gift Card,SAVE10,0,REG100001,Cust 2144,5.3,2024-12-19,2024-12-28,Sophie,0.0,9,0.9902575320306612,12,0,0,1,0,0,0,0,1
2023-05-10,Desk,14,346.18,Store B,0.1,Alice,4361.868,Online,WINTER15,0,REG100002,Cust 5998,20.46,2023-05-10,2023-05-19,Ryan,484.65200000000004,9,0.9953093491137284,5,0,1,0,0,1,1,0,0
2025-02-26,Chair,18,384.82,Store A,0.15,Frank,5887.746,Gift Card,FREESHIP,0,REG100003,Cust 7136,27.95,2025-02-26,2025-03-02,Cameron,1039.014,4,0.9952528522799727,2,0,0,0,0,1,0,0,1
2023-06-24,Desk,18,237.76,Store C,0.0,Carlos,4279.68,Online,SAVE10,0,REG100004,Cust 6506,5.73,2023-06-24,2023-06-27,Eric,0.0,3,0.9986611148497085,6,1,0,0,0,0,0,1,0
2024-02-20,Monitor,2,385.09,Store D,0.15,Diana,654.6529999999999,Credit Card,FREESHIP,0,REG100005,Cust 3909,11.92,2024-02-20,2024-03-01,Cameron,115.52699999999999,10,0.9817918805840652,2,0,0,0,0,1,0,0,1
2023-01-11,Chair,7,17.5,Store C,0.1,Alice,110.25,Debit Card,WINTER15,0,REG100006,Cust 7887,5.02,2023-01-11,2023-01-14,Sophie,12.25,3,0.9544671201814059,1,0,0,1,0,0,0,0,1
2023-01-09,Chair,3,330.22,Store C,0.15,Carlos,842.061,Cash,FREESHIP,0,REG100007,Cust 5301,48.01,2023-01-09,2023-01-11,Cameron,148.59900000000002,2,0.9429851281557987,1,0,0,0,0,1,0,0,1
2024-10-16,Chair,3,432.04,Store D,0.05,Bob,1231.314,Debit Card,FREESHIP,0,REG100008,Cust 2284,42.11,2024-10-16,2024-10-18,Sophie,64.80600000000001,2,0.9658007624375262,10,0,0,1,0,1,0,0,0
2025-03-05,Desk,5,323.28,Store D,0.1,Frank,1454.76,Gift Card,SAVE10,0,REG100009,Cust 3732,41.1,2025-03-05,2025-03-13,Wendy,161.64,8,0.9717479171822156,3,0,0,0,1,0,1,0,0
